"Date","Open","High","Low","Close","Volume","OpenInt"
05/14/1999,1395.40,1395.40,1395.40,1395.40,5,508
05/17/1999,1389.80,1397.00,1389.80,1397.00,12,512
05/18/1999,1397.70,1397.70,1397.70,1397.70,0,512
05/19/1999,1406.60,1406.60,1406.60,1406.60,0,512
05/20/1999,1410.00,1410.00,1400.10,1400.10,2,513
05/21/1999,1389.80,1391.60,1389.80,1391.60,4,512
05/24/1999,1368.80,1368.80,1368.80,1368.80,3,511
05/25/1999,1349.80,1349.80,1339.90,1339.90,2,511
05/26/1999,1360.00,1360.00,1360.00,1360.00,0,510
05/27/1999,1341.40,1341.40,1341.40,1341.40,2,509
05/28/1999,1352.50,1352.50,1352.50,1352.50,0,509
06/01/1999,1352.10,1352.10,1352.10,1352.10,0,509
06/02/1999,1352.80,1352.80,1352.80,1352.80,0,509
06/03/1999,1362.10,1362.10,1362.10,1362.10,0,509
06/04/1999,1365.40,1387.70,1364.50,1387.70,3,511
06/07/1999,1390.00,1391.70,1390.00,1391.70,72,517
06/08/1999,1379.70,1379.70,1379.70,1379.70,0,517
06/09/1999,1378.00,1378.00,1377.40,1377.40,37,528
06/10/1999,1369.80,1369.80,1365.30,1365.30,0,528
06/11/1999,1353.50,1353.50,1353.50,1353.50,0,526
06/14/1999,1354.20,1354.20,1354.20,1354.20,2,524
06/15/1999,1363.50,1363.50,1363.50,1363.50,0,524
06/16/1999,1390.00,1390.00,1388.40,1388.40,2,524
06/17/1999,1401.30,1401.30,1401.30,1401.30,0,524
06/18/1999,1402.30,1402.30,1402.30,1402.30,0,524
06/21/1999,1406.90,1406.90,1406.90,1406.90,60,481
06/22/1999,1396.20,1396.20,1396.20,1396.20,0,481
06/23/1999,1389.30,1389.30,1389.30,1389.30,40,481
06/24/1999,1369.80,1380.00,1369.80,1380.00,2,479
06/25/1999,1376.60,1376.60,1376.60,1376.60,2,477
06/28/1999,1390.00,1391.00,1390.00,1391.00,2,489
06/29/1999,1405.10,1405.10,1405.10,1405.10,0,489
